Iteration	Posterior	Likelihood	Prior	alpha_morpho	extinction_rate	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]
860	-323.7283	-192.2392	-131.489	820838.5	0.1644323	3010.403	0.0001485048	0.998597	0.999641	1.00036	1.0014	0.1608246	2955.137	2217.737	2321.189	2428.718	2505.346	2276.109	2392.463	2283.278	2262.187	2398.929
870	-335.786	-192.2394	-143.5465	981068	0.1635638	3081.714	0.0004242767	0.998717	0.999672	1.00033	1.00128	0.1652299	2957.626	2257.149	2293.944	2428.971	2506.497	2167.237	2404.485	2328.819	2258.111	2410.483
880	-332.3495	-192.2394	-140.1101	846036.5	0.1602345	3090.646	0.0001519047	0.998618	0.999647	1.00035	1.00138	0.1612309	2957.213	2274.739	2317.49	2426.41	2509.083	2132.129	2401.075	2311.285	2251.969	2420.99
890	-342.0289	-192.2394	-149.7895	764404.7	0.1634301	3062.35	0.0001382443	0.998547	0.999628	1.00037	1.00145	0.1657036	2967.738	2252.611	2316.457	2440.462	2544.965	2173.619	2409.365	2351.837	2260.78	2402.71
900	-331.6834	-192.2394	-139.444	234331.7	0.1679728	2982.24	0.0002146885	0.997375	0.999328	1.00067	1.00263	0.1634462	2953.48	2229.869	2348.749	2437.402	2529.397	2145.903	2408.256	2318.233	2263.201	2394.034
910	-331.8747	-192.2394	-139.6352	201433.2	0.174849	3010.549	0.0001682604	0.997169	0.999275	1.00072	1.00283	0.1743768	2957.151	2262.212	2270.537	2455.655	2538.655	2203.77	2392.803	2283.83	2300.391	2402.72
920	-327.2244	-192.2394	-134.985	138838.6	0.1789347	3036.879	0.0003141524	0.996591	0.999127	1.00087	1.00341	0.1815877	2967.72	2244.976	2316.578	2438.653	2543.225	2212.689	2407.101	2317.978	2303.955	2389.849
930	-326.2229	-192.2394	-133.9834	817115.6	0.1768864	3031.726	0.000345632	0.998594	0.99964	1.00036	1.00141	0.1745912	2953.302	2217.539	2349.963	2427.957	2508.16	2250.757	2399.919	2332.556	2318.303	2380.222
940	-331.075	-192.2394	-138.8355	696702.9	0.1756676	3090.694	0.0003785816	0.998478	0.999611	1.00039	1.00152	0.1754918	2964.626	2214.72	2334.822	2438.949	2539.085	2297.37	2392.614	2362.023	2335.73	2388.839
950	-330.5266	-192.2394	-138.2872	629222.5	0.1774037	3097.597	0.0001167561	0.998398	0.99959	1.00041	1.0016	0.1770985	2952.568	2231.831	2315.639	2460.011	2510.813	2264.716	2404.88	2303.021	2309.172	2405.893
960	-335.4264	-192.2394	-143.1869	913239.1	0.1792022	3069.432	0.0001241748	0.99867	0.99966	1.00034	1.00133	0.1768945	2975.534	2224.193	2339.302	2471.071	2514.093	2321.476	2401.855	2253.086	2291.136	2399.967
970	-327.1161	-192.2394	-134.8767	973017.7	0.1622583	3044.834	0.0004081654	0.998712	0.999671	1.00033	1.00129	0.1608197	2969.21	2262.384	2310.537	2459.173	2505.862	2186.961	2402.38	2338.385	2257.166	2422.369
980	-325.3748	-192.2381	-133.1367	184559	0.1770812	3034.744	0.0003344779	0.997043	0.999243	1.00075	1.00296	0.1757822	2968.596	2246.734	2296.471	2431.755	2506.357	2219.542	2409.195	2340.895	2256.041	2411.681
990	-328.6176	-192.2394	-136.3782	306911	0.1779547	3086.999	0.0002269053	0.997706	0.999413	1.00059	1.0023	0.1692931	2973.861	2274.809	2258.328	2443.52	2505.134	2230.189	2406.943	2293.816	2338.208	2413.149
1000	-321.9364	-192.2429	-129.6935	163363.6	0.1764703	2998.477	0.0002444641	0.996857	0.999195	1.0008	1.00315	0.175338	2964.781	2266.339	2277.755	2460.145	2500.559	2128.899	2395.508	2304.865	2270.852	2413.442
1010	-330.2101	-192.2394	-137.9707	398391.5	0.1809631	3027.975	0.0003894169	0.997987	0.999485	1.00051	1.00201	0.1827311	2975.158	2264.042	2296.062	2466.042	2527.305	2171.227	2404.671	2359.253	2329.625	2384.007
