Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	extinction_rate	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]
74	0	-329.0786	-192.2394	-136.8391	3829.375	0.1519085	3024.051	0.0001623811	0.979534	0.994679	1.00517	1.02061	0.1489695	2954.513	2242.37	2297.875	2430.986	2509.176	2130.749	2400.104	2324.29	2277.268	2422.777
75	1	-328.8794	-192.2386	-136.6408	769307.1	0.138267	3074.509	0.0003531087	0.998551	0.999629	1.00037	1.00145	0.1388705	2957.464	2264.324	2345.815	2425.759	2526.671	2284.089	2404.629	2273.846	2290.535	2408.923
76	0	-330.2208	-192.2888	-137.9319	48989.88	0.1542284	3027.459	0.0002344689	0.994263	0.998527	1.00146	1.00575	0.1487391	2976.522	2217.085	2322.979	2462.47	2528.565	2241.508	2403.252	2312.101	2312.828	2395.489
77	1	-325.2388	-192.2395	-132.9994	800818.4	0.1525884	3016.459	0.0002696063	0.99858	0.999637	1.00036	1.00142	0.1521214	2963.298	2257.065	2327.57	2454.514	2547.137	2169.887	2398.908	2356.758	2316.216	2416.832
78	0	-334.6367	-192.2394	-142.3972	39874.34	0.1493967	3091.922	0.0001308756	0.993642	0.998367	1.00162	1.00637	0.15148	2977.092	2269.755	2300.552	2434.626	2531.841	2132.632	2399.725	2343.615	2306.183	2394.3
79	1	-328.0688	-192.2394	-135.8293	345830.5	0.1602145	3072.365	0.0004382432	0.997839	0.999447	1.00055	1.00216	0.1613747	2976.802	2272.443	2311.25	2428.473	2536.379	2160.276	2401.464	2304.062	2325.379	2413.414
80	0	-331.1805	-192.2394	-138.941	523222.1	0.1535413	3090.579	0.0002073082	0.998243	0.999551	1.00045	1.00176	0.1505034	2962.89	2264.704	2318.353	2472.482	2522.487	2188.829	2403.68	2352.77	2324.411	2410.441
81	1	-326.0502	-192.2426	-133.8076	845855.7	0.156355	3007.744	0.0004934836	0.998618	0.999647	1.00035	1.00138	0.1610855	2973.371	2229.901	2255.881	2445.904	2514.32	2320.74	2399.027	2337.797	2307.628	2402.521
82	0	-331.2048	-192.2394	-138.9654	820187.6	0.1544165	3044.709	0.000157224	0.998597	0.999641	1.00036	1.0014	0.1551691	2971.855	2264.455	2300.537	2470.748	2525.354	2133.43	2390.191	2290.884	2289.912	2417.39
83	1	-333.3103	-192.2394	-141.0709	493338.8	0.1492043	3026.371	0.0001636345	0.998191	0.999537	1.00046	1.00181	0.1494992	2978.271	2212.245	2292.755	2437.672	2529.09	2242.278	2397.093	2257.647	2290.502	2393.871
84	0	-328.7673	-192.2394	-136.5279	536540.5	0.1601513	3037.644	0.0003087757	0.998265	0.999556	1.00044	1.00174	0.1594512	2970.217	2257.686	2327.994	2443.471	2501.49	2138.093	2395.049	2325.367	2310.8	2382.95
